Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,failure_reason
OUT_07259,2025,6,DIST_W_01,SKU_06,230.76504590072545,19384.24872714971,Invalid Outlet_ID
OUT_08723,2023,9,DIST_W_02,SKU_09,5.4232976260503705,11931.25120395274,Invalid Outlet_ID
OUT_13998,2023,10,DIST_NW_01,SKU_05,115.45858714018225,10391.249699266522,Invalid Outlet_ID
OUT_17661,2023,4,DIST_S_02,SKU_04,41.69270890698076,13550.110216841971,Invalid Outlet_ID
OUT_03691,2025,4,DIST_W_01,SKU_01,8.683449349496518,2605.0578013535883,Invalid Outlet_ID
OUT_01864,2024,6,DIST_W_01,SKU_01,8.367692364328342,2510.2659549676623,Invalid Outlet_ID
OUT_10530,2023,7,DIST_C_03,SKU_10,19.1260601196226,7061.97207142091,Invalid Outlet_ID
OUT_15238,2023,12,DIST_NW_02,SKU_08,94.08909624687128,41399.252074153024,Invalid Outlet_ID
OUT_14462,2023,6,DIST_NW_02,SKU_07,28.3888257555252,18452.68890067889,Invalid Outlet_ID
OUT_13998,2024,12,DIST_NW_01,SKU_08,90.52807211986772,39832.30641282491,Invalid Outlet_ID
OUT_18975,2024,12,DIST_S_01,SKU_06,156.6788925088572,13161.00328656451,Invalid Outlet_ID
OUT_19319,2023,5,DIST_S_02,SKU_07,15.659039047503017,10178.333865531897,Invalid Outlet_ID
OUT_14745,2023,9,DIST_NW_01,SKU_06,109.48641682432589,9196.877016631244,Invalid Outlet_ID
OUT_16192,2025,2,DIST_NW_02,SKU_06,126.48376669656405,10624.658860939116,Invalid Outlet_ID
OUT_13998,2025,10,DIST_NW_01,SKU_04,57.566143859563965,18708.96933949382,Invalid Outlet_ID
OUT_06028,2025,1,DIST_W_03,SKU_02,18.017912738783316,4564.554677053132,Invalid Outlet_ID
OUT_10229,2025,8,DIST_C_03,SKU_08,36.684334692638345,16141.12667998344,Invalid Outlet_ID
OUT_18975,2025,9,DIST_S_01,SKU_01,11.675057679154238,3502.5299857543782,Invalid Outlet_ID
OUT_00090,2024,11,DIST_W_02,SKU_05,54.20844043781134,4878.806440002609,Invalid Outlet_ID
